Nazv;Opisanie;Cena;Rating;Otzyv
Планшет Lenovo Tab M10 Plus TB-X606F 32Gb (2020), Iron Grey;"диагональ: 10.3"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio P22T";13990;4,7;29
Планшет Lenovo Tab M10 Plus TB-X606F 128Gb (2020), gray;"диагональ: 10.3"" (1920x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: MediaTek Helio P22T";17990;4,7;56
Планшет Lenovo Tab M10 Plus TB-X606X 64Gb (2020), silver;"диагональ: 10.3"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: MediaTek Helio P22T";16990;4,6;38
Планшет Lenovo Tab M10 Plus TB-X606F 64Gb (2020), Platinum Grey;"диагональ: 10.3"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: MediaTek Helio P22T";16620;4,4;38
Планшет Lenovo Yoga Smart Tab YT-X705F 64Gb (2019), серый;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 439";20990;4,7;26
Планшет Apple iPad (2020) 32Gb Wi-Fi, space grey;"диагональ: 10.2"" (2160x1620) IPSвстроенная память: 32 ГБоперативная память: 3 ГБпроцессор: Apple A12 Bionic";27750;4,8;95
Планшет Apple iPad (2020) 128Gb Wi-Fi, silver;"диагональ: 10.2"" (2160x1620) IPSвстроенная память: 128 ГБпроцессор: Apple A12 Bionicоперационная система: iOS";38890;4,8;67
Планшет Lenovo Yoga Smart Tab YT-X705X 64Gb (2019), серый;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 439";21509;4,5;22
Планшет Lenovo Tab M10 Plus TB-X606X 128Gb (2020), silver;"диагональ: 10.3"" (1920x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: MediaTek Helio P22T";21523;4,5;28
Планшет Samsung Galaxy Tab A7 10.4 SM-T500 32GB Wi-Fi (2020), темно-серый;"диагональ: 10.4"" (2000x1200) TFTвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 662";14899;4,7;52
Планшет Lenovo Tab M10 Plus TB-X606X 32Gb (2020), silver;"диагональ: 10.3"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio P22T";15490;4,7;13
Планшет Samsung Galaxy Tab A 8.0 SM-T290 32Gb Wi-Fi (2019), черный;"диагональ: 8"" (1280x800) TFTвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 429";8479;4,6;151
Планшет Samsung Galaxy Tab A 8.0 SM-T295 32Gb (2019), черный;"диагональ: 8"" (1280x800) TFTвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 429";10488;4,5;175
Планшет Lenovo Tab M10 TB-X306F 32Gb (2020), Platinum Grey;"диагональ: 10.1"" (1280x800)встроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio P22T";11490;4,8;10
Планшет Apple iPad Air 2020 64Gb Wi-Fi, blue sky;"диагональ: 10.9"" (2360x1640) IPSвстроенная память: 64 ГБоперативная память: 3 ГБпроцессор: Apple A14 Bionic";50988;4,8;48
Планшет Samsung Galaxy Tab A7 10.4 SM-T505 64GB (2020), серый;"диагональ: 10.4"" (2000x1200) TFTвстроенная память: 64 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 662";19989;4,6;38
Планшет HUAWEI MediaPad M5 Lite 8 32Gb LTE (2019), space grey;"диагональ: 8"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: HiSilicon Kirin 710";16189;4,6;193
Планшет Lenovo Yoga Smart Tab YT-X705F 32Gb (2019), серый;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 439";17990;4,6;16
Планшет Lenovo Yoga Smart Tab YT-X705X 32Gb (2019), серый;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 439";20990;4,5;12
Планшет Samsung Galaxy Tab A7 10.4 SM-T505 32GB (2020), золотой;"диагональ: 10.4"" (2000x1200) TFTвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 662";15988;4,7;53
Планшет HUAWEI MatePad T 10 32Gb LTE (2020), Deep Sea Blue;"диагональ: 9.7"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 710A";12804;4,8;16
Планшет HUAWEI MatePad T 10s 64Gb LTE (2020), Deep Sea Blue;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: HiSilicon Kirin 710A";19690;4,5;77
Планшет HUAWEI MatePad WiFi 64Gb, midnight grey;"диагональ: 10.4"" (2000x1200) IPSвстроенная память: 64 ГБ, слот microSDоперативная память: 4 ГБпроцессор: HiSilicon Kirin 810";19499;4,6;127
Планшет Samsung Galaxy Tab S6 Lite 10.4 SM-P615 64Gb LTE (2020), розовый;"диагональ: 10.4"" (2000x1200) TFTвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Samsung Exynos 9611";25165;4,6;83
Планшет HUAWEI MatePad T 8.0 32Gb LTE, Deep Sea Blue;"диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek MT8768";10990;4,6;116
Планшет Samsung Galaxy Tab S6 Lite 10.4 SM-P610 64Gb Wi-Fi (2020), розовый;"диагональ: 10.4"" (2000x1200) TFTвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Samsung Exynos 9611";22899;4,7;95
Планшет Samsung Galaxy Tab S5e 10.5 SM-T725 64Gb (2019), черный;"диагональ: 10.5"" (2560x1600) Super AMOLEDвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 670";36945;4,6;117
Планшет Samsung Galaxy Tab S6 Lite 10.4 SM-P610 128Gb (2020), серый;"диагональ: 10.4"" (2000x1200) TFTвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Samsung Exynos 9611";24990;4,4;10
Планшет Apple iPad Pro 11 (2020) 128Gb Wi-Fi, space gray;"диагональ: 11"" (2388x1668) IPSвстроенная память: 128 ГБоперативная память: 6 ГБпроцессор: Apple A12Z Bionic";68980;4,7;76
Планшет HONOR Pad V6 Wi-Fi (2020), midnight black;"диагональ: 10.4"" (2000x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Kirin 985";27980;4,7;36
Планшет Samsung Galaxy Tab A7 10.4 SM-T500 64GB Wi-Fi (2020), темно-серый;"диагональ: 10.4"" (2000x1200) TFTвстроенная память: 64 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 662";17590;4,6;54
Планшет TurboPad 1016 3G, черный;"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731E";6690;4,3;32
Планшет HUAWEI MatePad T 10 32Gb Wi-Fi (2020), Deep Sea Blue;"диагональ: 9.7"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 710A";10836;4,5;24
Планшет Lenovo Tab P11 TB-J606F 128Gb (2020), slate grey;"диагональ: 11"" (2000x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 662";22990;4,5;NA
Планшет DIGMA Optima 7 X700 4G, черный;"диагональ: 7"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Spreadtrum SC9863";7490;4,6;4
Планшет TurboKids Star 2021, синий;"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБоперативная память: 1 ГБпроцессор: Cortex A7";6490;3,4;7
Планшет HUAWEI MatePad T 10s 32Gb LTE (2020), Deep Sea Blue;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 710A";15275;4,6;17
Планшет DIGMA Optima 10 X702 4G, черный;"диагональ: 10.1"" (1280x768) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Spreadtrum SC9863";8990;5;3
Планшет DIGMA CITI 10 C402T, черный;"диагональ: 10.1"" (1280x800) IPSоперативная память: 4 ГБпроцессор: Intel Celeron N3350операционная система: Windows 10";16990;NA;NA
Планшет Apple iPad Air (2020) 256Gb Wi-Fi, space grey;"диагональ: 10.9"" (2360x1640) IPSвстроенная память: 256 ГБпроцессор: Apple A14 Bionicоперационная система: iOS";65990;4,7;12
Планшет DIGMA CITI 10 C302T, черный;"диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDоперативная память: 3 ГБпроцессор: Intel Celeron N3350";16299;4,2;3
Планшет Samsung Galaxy Tab S7 11 SM-T870 128Gb Wi-Fi (2020), silver;"диагональ: 11"" (2560x1600) LTPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Qualcomm Snapdragon 865+";46889;4,7;35
Планшет Teclast M40, черный;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 128 ГБ, слот microSDоперативная память: 6 ГБпроцессор: Unisoc Tiger T618";14590;NA;NA
Планшет HUAWEI MediaPad T5 10 64Gb LTE (2018), черный;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: HiSilicon Kirin 659";21490;4,8;7
Планшет DIGMA Optima 8 Z801 4G, серый;"диагональ: 8"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDоперативная память: 4 ГБпроцессор: Spreadtrum SC9863";11102;4,7;8
Планшет TurboPad 1015, серебристый;"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: MediaTek MT8321";6590;4,1;31
Планшет HUAWEI Mediapad T3 8.0 16Gb LTE (2017), luxurious gold;"диагональ: 8"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 425";11095;4,5;134
Планшет BQ 8077L Exion Plus (2020), черный;"диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Spreadtrum SC9863A";8490;4,1;12
Планшет Samsung Galaxy Tab S7+ 12.4 SM-T975 128Gb (2020), silver;"диагональ: 12.4"" (2800x1752) Super AMOLEDвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Qualcomm Snapdragon 865+";62869;4,4;38
Планшет Blackview Tab 8 keyboard, gray;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Spreadtrum SC9863A";18550;5;2
Планшет HUAWEI MediaPad T5 10 32Gb LTE (2018), черный;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: HiSilicon Kirin 659";16990;4,6;72
Планшет Prestigio Muze 3231 4G, dark gray;"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБоперативная память: 2 ГБпроцессор: Spreadtrum SC9832E";8230;4,6;3
Планшет Lenovo Tab P11 TB-J606L 128Gb LTE (2020), slate grey;"диагональ: 11"" (2000x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 662";24990;4,2;4
Планшет BQ 7098G Armor Power/t (2020), cammo jungle;"диагональ: 7"" (1024x600)встроенная память: 16 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: Unisoc SC7731E";5190;1,3;1
Планшет HUAWEI MatePad LTE 64Gb, midnight grey;"диагональ: 10.4"" (2000x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: HiSilicon Kirin 810";27990;4,6;148
Планшет HUAWEI Mediapad T3 10 16Gb LTE (2017), space grey;"диагональ: 9.6"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 425";10754;4,5;153
Планшет Lenovo Tab M10 TB-X505X 32Gb (2019);"диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 429операционная система: Android 9.0";9870;4,5;51
Планшет BQ 1020L Nexion;"диагональ: 10.1"" (1024x600)встроенная память: 8 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: Spreadtrum SC9832Eоперационная система: Android 10";5499;5;1
Планшет Lenovo TAB M7 TB-7305i 16Gb (2019);"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: MediaTek MT8321операционная система: Android 9.0";6680;4,4;14
Планшет HUAWEI MatePad Pro LTE 128Gb;"диагональ: 10.8"" (2560x1600) IPSвстроенная память: 128 ГБ, слот NMоперативная память: 6 ГБпроцессор: HiSilicon Kirin 990операционная система: Android 10";43999;4,6;95
Планшет Prestigio SmartKids (2019);"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDоперативная память: 1 ГБпроцессор: RockChip RK3126операционная система: Android 8.1";4095;3,8;56
Планшет DIGMA CITI 10 E402 4G;"диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDоперативная память: 2 ГБпроцессор: Spreadtrum SC9863операционная система: Android 10";7190;NA;NA
Планшет Lenovo Tab M8 TB-8505X 32Gb (2019);"диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio A22операционная система: Android 9.0";9990;4,4;33
Планшет DIGMA Optima Prime 5 3G (2018);"диагональ: 7"" (1024x600) IPSвстроенная память: 8 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Cоперационная система: Android 8.1";3530;4,4;14
Планшет HUAWEI MediaPad M5 Lite 10 64Gb LTE;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: HiSilicon Kirin 659операционная система: Android 8.0";18850;4,5;14
Планшет DIGMA Plane 7594 3G;"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБоперационная система: Android 9.0камеры: основная 2 МП, фронтальная 0.30 МП";4440;4,3;37
Планшет Blackview Tab 8;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDоперативная память: 4 ГБпроцессор: Spreadtrum SC9863Aоперационная система: Android 10";12150;4,3;22
Планшет Samsung Galaxy Tab S6 Lite 10.4 SM-P615 128Gb LTE (2020);"диагональ: 10.4"" (2000x1200) TFTвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Samsung Exynos 9611операционная система: Android 10";27718;4,5;19
Планшет BQ 7040G Charm Plus;"диагональ: 7"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Unisoc SC7731Eоперационная система: Android 9.1";4722;4;25
Планшет Apple iPad (2019) 32Gb Wi-Fi;"диагональ: 10.2"" (2160x1620) IPSвстроенная память: 32 ГБоперативная память: 2 ГБпроцессор: Apple A10операционная система: iOS";26990;4,7;151
Планшет HUAWEI Mediapad T3 10 2Gb 32Gb LTE (2017);"диагональ: 9.6"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 425операционная система: Android 7.0";12990;4,6;5
Планшет DIGMA Optima 7 Z800 4G;"диагональ: 7"" (1920x1080) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Spreadtrum SC9863операционная система: Android 10";7666;3,7;9
Планшет Apple iPad Air 16Gb Wi-Fi;"диагональ: 9.7"" (2048x1536) IPSвстроенная память: 16 ГБоперативная память: 1 ГБпроцессор: Apple A7операционная система: iOS";9480;4,5;50
Планшет Prestigio Q Pro;"диагональ: 8"" (1280x800) IPSвстроенная память: 16 ГБ, слот SDXCоперативная память: 2 ГБпроцессор: Spreadtrum SC9832Eоперационная система: Android 9.0";7189;5;NA
Планшет HUAWEI MatePad Pro WiFi 128Gb;"диагональ: 10.8"" (2560x1600) IPSвстроенная память: 128 ГБ, слот NMоперативная память: 6 ГБпроцессор: HiSilicon Kirin 990операционная система: Android";36490;4,5;109
Планшет Apple iPad Pro 12.9 (2020) 128Gb Wi-Fi;"диагональ: 12.9"" (2732x2048) IPSвстроенная память: 128 ГБоперативная память: 6 ГБпроцессор: Apple A12Z Bionicоперационная система: iOS";74990;4,7;32
Планшет Samsung Galaxy Tab A 10.1 SM-T515 32Gb (2019);"диагональ: 10.1"" (1920x1200) TFTвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Samsung Exynos 7904операционная система: Android 9.0";15950;4,6;232
Планшет Jumper EZpad Pro 8 8Gb;"диагональ: 11.6"" (1920x1080) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 8 ГБпроцессор: Intel Celeron N3450операционная система: Windows 10";25990;NA;NA
Планшет BQ 7083G Light (2017);"диагональ: 7"" (1024x600)встроенная память: 8 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Cоперационная система: Android 7.0";3399;3,6;9
Планшет HUAWEI MatePad WiFi 128Gb;"диагональ: 10.4"" (2000x1200) IPSвстроенная память: 128 ГБ, слот microSDоперативная память: 4 ГБпроцессор: HiSilicon Kirin 820операционная система: Android 10";22490;3,3;2
Планшет HUAWEI MediaPad T5 10 16Gb LTE (2018);"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 659операционная система: Android 8.0";10590;4,5;80
Планшет DIGMA CITI 7587 3G (2019);"диагональ: 7"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek MT8321операционная система: Android 9.0";5390;4,3;23
Планшет BQ 7036L Hornet (2018);"диагональ: 7"" (1024x600) IPSвстроенная память: 8 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: Spreadtrum SC9832операционная система: Android 8.1";3990;4,3;4
Планшет Alcatel 3T 8 (2020);"диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek MT8766Bоперационная система: Android 10";8048;4,2;1
Планшет TurboKids Princess (3G, 16 Гб);"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 1 ГБоперационная система: Android 8.1камеры: основная 2 МП, фронтальная 0.30 МП";5411;4;15
Планшет TurboPad Pro 16GB (2020);"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 2 ГБпроцессор: Spreadtrum SC7731Eоперационная система: Android 10";7058;NA;NA
Планшет TurboPad MonsterPad 2 3G 16GB (2020);"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Eоперационная система: Android 8.1";5488;3,9;13
Планшет alldocube X Neo 64GB LTE;"диагональ: 10.5"" (2560x1600) Super AMOLEDвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 660операционная система: Android 9.0";24190;4;1
Планшет BQ 1024L Exion Pro (2020);"диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Spreadtrum SC9863Aоперационная система: Android 10";8666;4,3;2
Планшет Samsung Galaxy Tab S7+ 12.4 SM-T970 128Gb Wi-Fi (2020);"диагональ: 12.4"" (2800x1752) Super AMOLEDвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Qualcomm Snapdragon 865+операционная система: Android 10";53490;4,6;32
Планшет Prestigio Wize PMT4317 3G (2019);"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Eоперационная система: Android 8.1";4990;4,4;12
Планшет Lenovo Tab M10 TB-X505F 16Gb (2019);"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 429операционная система: Android 9.0";10490;4,6;6
Планшет Apple iPad Pro 11 (2020) 256Gb Wi-Fi;"диагональ: 11"" (2388x1668) IPSвстроенная память: 256 ГБоперативная память: 6 ГБпроцессор: Apple A12Z Bionicоперационная система: iOS";67569;4,7;10
Планшет HUAWEI MediaPad M3 Lite 10 16Gb LTE (2017);"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 435операционная система: Android 7.0";12990;4,3;8
Планшет BQ 1085L Hornet Max Pro (2018);"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Spreadtrum SC9832операционная система: Android 8.1";6490;4,2;20
Планшет Alcatel TKEE MINI 8052;"диагональ: 7"" (1024x600) TFTвстроенная память: 16 ГБ, слот microSDXCоперативная память: 1.5 ГБпроцессор: MediaTek MT8167Dоперационная система: Android 9.0";5840;4,5;4
